"","logFC","logCPM","PValue","FDR"
"KRTDAP|388533",-4.35494930533955,0.873874808518762,0.00118543508237062,0.124011327554497
"MYO16|23026",-2.63482419126693,-0.0931991587104417,0.00120622108608125,0.125402040613838
"AMZ1|155185",1.74822680133092,0.219379092644493,0.00122253555052054,0.126278156057118
"PYY2|23615",-2.05382049799651,-0.227465345048276,0.00123432609938467,0.126278156057118
"GPR172A|79581",0.605505626007278,6.90544633910537,0.00123728149082133,0.126278156057118
"FHOD3|80206",1.04040932341999,2.05190289915268,0.00126085120235488,0.127903802575855
"CSAG1|158511",-2.6424322615989,-1.36098310797395,0.0012864958082469,0.129625269282913
"MIAT|440823",1.11458767226269,2.13566425389837,0.00130431455870491,0.129625269282913
"SLITRK4|139065",-1.60242999901289,2.02943004632551,0.00130821455036364,0.129625269282913
"BEX1|55859",-2.39230722831679,2.97298866126187,0.0013133274439111,0.129625269282913
"HDC|3067",-3.12330777003635,0.201147164058097,0.00131654294289014,0.129625269282913
"C22orf36|388886",0.989886838759014,3.33802800043858,0.00134736409420183,0.131884094788013
"CD24|100133941",-1.23978234301066,10.8479342772685,0.00135938953736609,0.132287570211823
"AZU1|566",-3.49594293030233,-1.12003035489649,0.00138739613425948,0.13371666162991
"ATP6V1G2|534",-1.35359937345507,1.65109306639748,0.0013962466499712,0.13371666162991
"SNORA74B|677841",2.35774986272093,-0.357840102497444,0.00139804133022071,0.13371666162991
"TMEM145|284339",-1.69718608891237,-1.54155438279813,0.00145033613848656,0.137930262988568
"PSORS1C3|100130889",-1.97323511100171,1.2878448582188,0.00146715190518707,0.138741178469047
"SRL|6345",-1.2162247966159,-0.63829044948467,0.00148477285347312,0.139618696749624
"HSPBAP1|79663",-0.535977647491715,3.58164744941907,0.00154578191548061,0.143665056562845
"OR2W3|343171",1.07790227644062,0.300083092455801,0.00154736982741933,0.143665056562845
"RGS17|26575",-1.37130665051879,-1.50926835384879,0.00155355330612229,0.143665056562845
"SHD|56961",-1.86806657341684,-1.95646218762213,0.0016059969545708,0.147698774865968
"PTGES|9536",1.21238939846118,3.55172416407042,0.00162749673942053,0.148858144395742
"UMODL1|89766",-2.31680888666915,0.262278979825503,0.00164622078626203,0.14975241043725
"GDPD5|81544",0.98662223048539,4.24646378806761,0.00166349942607182,0.150055487639159
"DLK1|8788",3.39600090674817,3.21572309517749,0.00167751141032157,0.150055487639159
"ABCA13|154664",1.57875689445642,1.92623422555118,0.00168573840326269,0.150055487639159
"FFAR2|2867",-2.12681818808633,0.178183271125104,0.00169082278628613,0.150055487639159
"SCGB1D1|10648",2.2668410526953,0.560344065378934,0.0017112274549426,0.150055487639159
"TMEM59L|25789",-2.20793301746211,0.676675062229286,0.00171570033002982,0.150055487639159
"HOXA9|3205",-2.60113887371665,1.71532814623767,0.00171584000042388,0.150055487639159
"CTSE|1510",1.59757016669286,1.6304632578979,0.00172992266112896,0.150055487639159
"FBXO39|162517",-1.65395687269057,-0.739430615526091,0.00173023713193678,0.150055487639159
"KLHDC8A|55220",1.64188395653716,4.03510495439547,0.00176855149893454,0.152587706129723
"UGT2B15|7366",-4.15930876796329,-0.715639638752571,0.00180596281638057,0.155016439079887
"ELAVL3|1995",-2.5128500855636,-1.5797239574452,0.00183969480762234,0.157106182091748
"CHL1|10752",1.25863436040017,5.3517217044058,0.0018917272249627,0.160729595387948
"NAA50|80218",-0.408613033185495,7.47758616119782,0.00190726353964511,0.161231197608989
"INSIG2|51141",0.536812249662374,4.16479008221059,0.00195393436018293,0.163947203823072
"LOC654433|654433",1.16826401906822,2.04069674942102,0.00195898200290444,0.163947203823072
"C16orf63|123811",-0.68716707544818,5.74415633838954,0.00199097754719989,0.165795931268815
"HRASLS2|54979",-1.5030712850773,1.05122889698654,0.00201217021264446,0.16673121296655
"GABBR2|9568",2.17024155578872,2.36427236147111,0.0020990293489395,0.172311881773673
"ARRDC2|27106",-0.851151804342416,5.17415719073917,0.002100108966533,0.172311881773673
"MAP6|4135",1.13027744250707,2.64011340214752,0.00218491886490098,0.178354915337073
"SDS|10993",-0.852260305055284,4.48918183823921,0.00219507184606507,0.178354915337073
"CTDP1|9150",0.836182169372574,4.96565829077012,0.00220937116932141,0.178434408705469
"TMEM22|80723",-1.14420795339266,2.04929842952543,0.00221847087753044,0.178434408705469
"FNDC5|252995",-1.06716553139616,0.894825077556606,0.00222803151030249,0.178434408705469
