"logFC"	"AveExpr"	"t"	"P.Value"
"INHBA"	0.5621962289	-0.554267591172414	2.5980318830768	0.0118000419728812
"UPK1B"	0.941024922272223	0.346719919706897	2.59563733414514	0.0118739811421275
"ITGB6"	0.821440955908334	0.324486323758621	2.59457139511669	0.0119070306143074
"MAP3K1"	0.402156901894444	0.224637817431034	2.59391948011343	0.011927284446483
"PLXNB1"	-0.394188970716667	0.167235468396552	-2.59184493731032	0.0119919453433143
"OMD"	0.483189328930556	-0.249295559896552	2.5780898140175	0.0124287957320642
"PPOX"	-0.401971824425	0.16590069887931	-2.57316786418356	0.0125885899088111
"TSPAN8"	-1.24599197319167	0.760449390431034	-2.57035638159637	0.0126807010585063
"ASAH1"	0.329633340461111	0.144414861862069	2.56895358267376	0.0127268885813135
"C16ORF67"	-0.264893652683333	0.0178851078793103	-2.5641255835872	0.0128870208388231
"PLEKHA9"	-0.384654923788889	-0.0781923881034483	-2.56128776446147	0.0129819946492886
"ZNF74"	-0.269723224666667	-0.126986032155172	-2.56128397101589	0.0129821220289453
"MDM4"	-0.448487221027778	0.00793959846551724	-2.5598321642232	0.0130309553857213
"PDCL"	0.347212742438889	-0.039872672862069	2.55561780754195	0.0131736556041323
"ZNF780B"	0.558159969872222	0.118359557965517	2.55407203954901	0.0132263501647386
"PTCD1"	-0.221398050080556	0.0306506738448276	-2.54787835060437	0.0134394120993411
"ANKZF1"	-0.288179743019444	0.167513568413793	-2.54593982771551	0.0135067331277074
"TNC"	0.649382867922222	-0.164360592517241	2.54572176842511	0.0135143249747923
"ENY2"	0.417761514183333	0.0925749147413793	2.54280926690972	0.0136160964892389
"FBXL15"	-0.277927551947222	0.0467188260344828	-2.53781864365873	0.0137920986096182
"FAM105A"	0.520567982213889	-0.00863175063793104	2.53033515912561	0.0140598769937261
"AGPS"	0.409040971397222	0.0549471525689655	2.52795003453776	0.0141462063312251
"ISG20L1"	-0.26056442925	-0.0842446516206897	-2.52382332281393	0.0142967055235041
"SDC2"	0.634912498341667	-0.0119885358448276	2.52355561837001	0.0143065184129541
"COL8A1"	0.377405934372222	-0.332242716517241	2.52194379864932	0.0143657296209452
"HSD17B6"	0.440582689952778	-0.427184237724138	2.52103415837736	0.0143992435642565
"SNCG"	0.780204781980556	0.34015211712069	2.51945935859588	0.0144574312056336
"NET1"	0.448347963386111	0.16136954712069	2.51662297898057	0.0145627697645992
"PCTP"	0.505065099097223	0.185561083724138	2.51527090002598	0.0146132275635874
"HCRP1"	-0.369923605061111	0.0788549065172414	-2.51489433464728	0.0146273085907824
"C7ORF43"	-0.184246416802778	-0.0683901714310345	-2.50736942635724	0.0149112727938578
"ELL2"	0.380818452152778	-0.1478374215	2.49821876006152	0.0152632917178092
"PUS1"	-0.357744384869444	0.0543739209827586	-2.49361168947147	0.0154433462034629
"RTN2"	0.443351447966667	0.0467268618793103	2.48890328791228	0.0156293390816985
"COL11A1"	1.084572328875	-0.771332627965517	2.48866213273769	0.0156389194464025
"SIDT2"	-0.348496636047222	0.0286966123965517	-2.4881644621078	0.0156587071402984
