"logFC"	"AveExpr"	"t"	"P.Value"
"CPVL"	0.452438292491228	0.576736801357143	2.29538037806579	0.0253714308067636
"CD33"	0.433673770614035	0.428568122607143	2.29327296745389	0.025500556369189
"PRSS22"	-0.344178863342105	-0.00650308751785714	-2.29324550041616	0.0255022431780426
"THBS3"	0.359749334371345	0.0702057673035714	2.2911023118549	0.0256341667050614
"MGRN1"	0.325490040666667	0.0388548712857143	2.2899334540018	0.0257063704739309
"TNFRSF21"	-0.351698935856725	0.247955345553571	-2.28901196882265	0.0257634204884643
"COL8A2"	0.488964850839182	0.948222660089286	2.28770889784435	0.0258442866139967
"CCT5"	-0.314614609090643	0.0850156525178571	-2.28761324482477	0.0258502315233738
"SPR"	0.308195704523392	-0.0988154185535714	2.28559541374989	0.0259759243864383
"SEC31A"	0.203732666777778	0.216467765035714	2.28298998497552	0.0261390211772018
"HGFAC"	0.351769683190058	-0.474384407839286	2.28143018290298	0.0262370970183741
"H2AFY"	-0.245637438903509	0.0510681781607143	-2.28068928807689	0.0262837965522267
"INTS7"	-0.275766895149123	-0.0846554953392857	-2.28028024678145	0.0263096105064756
"TNNT2"	0.722751314652047	0.149400799303571	2.28022375223192	0.0263131775550827
"ZNF226"	-0.36855010725731	0.106449239392857	-2.27920630878724	0.0263774920678817
"MAPKBP1"	0.194948154260234	0.000780731910714285	2.27908895964486	0.026384918884909
"ZNF706"	-0.268355787298246	0.159682844785714	-2.27898029378835	0.0263917978055066
"C4BPA"	-0.693012804730994	-0.286072364464286	-2.27821462337209	0.026440312451357
"FKBP2"	-0.304990421698831	-0.113902108625	-2.27793996952983	0.0264577344101472
"ROR1"	0.35416165272807	0.195050067696429	2.27743886306631	0.0264895470306607
"CENTG2"	0.32711238775731	0.053613580625	2.27346326165665	0.0267431410333001
"AKR7A3"	0.199942411157895	-0.00412056707142857	2.27341717729945	0.0267460932134642
"STX2"	0.244200745713451	0.351732144178571	2.27252813627804	0.0268031020439836
"MAT1A"	-0.491894323596492	-0.356474346964286	-2.27232086090253	0.0268164088289199
"WDR59"	0.187564686435672	-0.119303065446429	2.27042794748628	0.0269382022493608
"RAB9A"	-0.326090807739766	0.0861382971964286	-2.27018111419252	0.0269541200048553
"ARHGEF1"	0.198613636885965	-0.00883886698214285	2.26661756791466	0.0271848557483708
"C11ORF9"	0.457350592482456	0.180280413267857	2.26359104627944	0.0273821915379743
"TCEB1"	-0.257957126906433	0.0570411693928571	-2.26289146576518	0.0274279857590754
"SSFA2"	-0.321239669859649	-0.0799772746428571	-2.2614014707324	0.0275257461831533
"ATP1B1"	-0.418394474403509	-0.0572350914642857	-2.26080516305656	0.027564957002018
"LRRC48"	0.311437453388889	-0.265934991267857	2.26075671824647	0.0275681447100832
"MYL4"	-0.219547756622807	-0.0444470074821429	-2.26039071582055	0.0275922385141716
