"logFC"	"AveExpr"	"t"	"P.Value"
"FLJ13195"	0.435850623661017	0.071555451	3.06207577339541	0.00302143748894708
"MYST1"	0.324602039047856	0.0186750701447368	3.05144352800104	0.00311844573673736
"CD47"	-0.411114941618145	0.299747275407895	-3.03959430313863	0.00322996391095149
"UNKL"	0.452567217420737	-0.189981587328947	3.03928486997313	0.00323292514781202
"WWP1"	-0.461390415179461	0.0170154525921053	-3.03360547766243	0.00328772606881678
"TCEA2"	0.544599801622133	-0.154361177355263	3.03016678815797	0.00332132420447971
"HAGH"	0.358823052532403	0.0515542108684211	3.02304028847869	0.00339197176273972
"HOXA7"	0.674739883108673	-0.119308274868421	3.02197596762978	0.00340264167410704
"RAP2B"	-0.344968314103689	0.289851434342105	-3.00425896721409	0.00358489341051905
"HEXIM1"	-0.405146348482552	-0.0316778416842105	-3.00417044548315	0.00358582632795142
"TAGLN3"	0.352458223297108	-0.0951528059342105	2.97469525461742	0.00390928366127679
"PPP4R1"	0.383450236604187	0.149673402552632	2.97188871396906	0.00394145121461518
"CASP7"	-0.394260147258225	0.149209286947368	-2.96654794142152	0.00400334300084107
"TMF1"	-0.361162672596211	0.102028028657895	-2.95541235273504	0.0041352912535215
"WDR45"	0.50763482444666	0.154000015789474	2.91146886695289	0.00469620921009786
"NCOA2"	-0.36355890920339	0.043062222618421	-2.90422816238965	0.00479510694999859
"CYB5R2"	-0.70732558498006	0.00529303156578948	-2.90382439704332	0.00480067796593645
"NOL7"	-0.272154577514456	0.122342285407895	-2.90158579614218	0.00483167387636275
"DNASE1L2"	0.546335919622133	-0.129010214171053	2.8987344604471	0.00487142105384353
"ST8SIA3"	0.402523538668993	-0.0719894126447368	2.89407660349555	0.00493699997840196
"CX3CL1"	-0.411484838837487	0.00259705834210527	-2.89290956240424	0.00495355801659266
"SLC24A3"	-0.54759399789332	-0.0852345858026316	-2.88772247171895	0.00502777398441552
"TLE1"	-0.395418288287139	-0.0107398224736842	-2.88424905745197	0.00507804240012185
