"logFC"	"AveExpr"	"t"	"P.Value"	"gene name"
0.731184988581081	-0.0180388022352941	2.69297182512695	0.00949246566682562	"SNTG2"
-0.3553582025	-0.0171543694901961	-2.69092103270129	0.00954373912339588	"ADAM20"
0.368296761293436	0.162580862862745	2.67659324587633	0.00990910572437805	"C2ORF37"
-0.422842515918919	-0.530440002215686	-2.67206955372173	0.0100270981066499	"P2RY6"
0.619559226478764	-0.0843040448431372	2.67084730400094	0.0100591984422718	"CTAG2"
0.638713576144788	0.427674947333333	2.66983811451632	0.0100857740362255	"DNAH2"
1.68544781543822	0.407820652254902	2.66641265061476	0.010176459195738	"ODAM"
-0.863587467671815	0.350957847823529	-2.66054068468217	0.0103336515587311	"NLGN1"
0.554458119063707	0.254905705411765	2.6577964317201	0.0104078746577749	"GEMIN4"
0.256410495793436	0.0807202360588235	2.6576549630005	0.0104117141196381	"AKR7A3"
